time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2021-07-09,15.0,11.8,19.0,1.0,,,18.0,,1024.9,,Antananarivo
2021-07-10,15.3,12.6,19.5,0.0,,,16.6,,1024.3,,Antananarivo
2021-07-11,14.4,11.6,19.7,0.0,,,14.7,,1024.9,,Antananarivo
2021-07-12,14.7,11.4,19.2,0.0,,,13.5,,1024.5,,Antananarivo
2021-07-13,14.2,11.6,18.9,0.0,,,12.1,,1023.7,,Antananarivo
2021-07-14,13.4,7.6,18.8,0.0,,,10.1,,1023.6,,Antananarivo
2021-07-15,13.8,10.7,18.5,0.0,,,13.2,,1022.9,,Antananarivo
2021-07-16,13.6,8.9,19.9,0.0,,,12.1,,1023.4,,Antananarivo
2021-07-17,14.2,11.3,19.4,0.0,,,12.7,,1023.1,,Antananarivo
2021-07-18,14.6,10.5,19.8,0.0,,,11.1,,1022.5,,Antananarivo
2021-07-19,15.1,12.5,19.8,0.4,,,13.3,,1023.4,,Antananarivo
2021-07-20,15.2,12.3,19.3,0.4,,,14.7,,1025.9,,Antananarivo
2021-07-21,15.0,11.0,19.8,0.1,,,14.6,,1026.8,,Antananarivo
2021-07-22,13.5,9.6,19.1,0.0,,,11.4,,1025.7,,Antananarivo
2021-07-23,13.6,7.2,20.2,0.0,,,9.0,,1023.0,,Antananarivo
2021-07-24,13.6,8.4,19.9,0.0,,,13.1,,1023.0,,Antananarivo
2021-07-25,13.6,11.2,17.1,0.2,,,21.1,,1023.6,,Antananarivo
2021-07-26,13.1,10.7,17.4,0.0,,,17.0,,1024.2,,Antananarivo
2021-07-27,13.4,9.0,20.0,0.5,,,9.4,,1022.7,,Antananarivo
2021-07-28,12.5,6.5,19.7,0.0,,,11.5,,1022.7,,Antananarivo
2021-07-29,14.1,9.4,19.1,0.0,,,18.5,,1024.6,,Antananarivo
2021-07-30,14.7,11.8,19.7,0.5,,,16.1,,1026.6,,Antananarivo
2021-07-31,13.7,8.8,20.1,0.0,,,15.4,,1027.1,,Antananarivo
2021-08-01,13.1,7.4,18.3,0.3,,,14.3,,1026.1,,Antananarivo
2021-08-02,14.8,10.9,20.6,0.0,,,5.9,,1023.2,,Antananarivo
2021-08-03,14.9,9.3,22.2,0.0,,,9.1,,1023.5,,Antananarivo
2021-08-04,14.6,11.0,18.7,0.3,,,15.4,,1026.4,,Antananarivo
2021-08-05,13.7,10.9,18.1,0.1,,,14.3,,1026.4,,Antananarivo
2021-08-06,13.7,7.8,20.5,0.0,,,10.5,,1023.9,,Antananarivo
2021-08-07,15.0,9.4,21.8,0.0,,,6.8,,1021.5,,Antananarivo
2021-08-08,15.2,9.4,22.0,0.0,,,6.2,,1020.5,,Antananarivo
2021-08-09,14.8,9.8,21.6,0.0,,,6.4,,1020.6,,Antananarivo
2021-08-10,15.6,10.7,22.2,0.0,,,6.1,,1020.5,,Antananarivo
2021-08-11,14.7,10.4,19.2,0.0,,,11.1,,1021.5,,Antananarivo
2021-08-12,15.2,7.7,23.4,0.0,,,7.0,,1022.0,,Antananarivo
2021-08-13,16.9,11.1,24.0,0.0,,,6.7,,1022.9,,Antananarivo
2021-08-14,15.9,11.7,20.7,0.0,,,16.0,,1023.7,,Antananarivo
2021-08-15,14.0,11.0,18.2,0.0,,,14.6,,1023.6,,Antananarivo
2021-08-16,12.6,8.0,17.3,0.0,,,15.2,,1024.9,,Antananarivo
2021-08-17,13.1,9.7,17.1,0.0,,,15.1,,1025.4,,Antananarivo
2021-08-18,13.8,10.2,19.5,0.0,,,11.3,,1023.2,,Antananarivo
2021-08-19,16.3,9.9,24.3,0.0,,,7.2,,1020.3,,Antananarivo
2021-08-20,18.8,14.3,26.3,0.1,,,5.5,,1019.3,,Antananarivo
2021-08-21,18.6,13.8,25.3,0.0,,,10.7,,1020.0,,Antananarivo
2021-08-22,17.2,12.1,24.1,0.0,,,11.9,,1020.8,,Antananarivo
2021-08-23,16.0,8.4,24.8,0.0,,,6.8,,1020.0,,Antananarivo
2021-08-24,16.1,11.4,23.3,0.0,,,7.8,,1020.9,,Antananarivo
2021-08-25,17.2,12.1,25.4,0.2,,,7.6,,1020.2,,Antananarivo
2021-08-26,15.8,9.6,23.1,0.0,,,12.2,,1019.9,,Antananarivo
2021-08-27,14.9,10.7,20.2,0.0,,,17.6,,1021.7,,Antananarivo
2021-08-28,14.7,9.6,19.5,0.1,,,17.9,,1020.7,,Antananarivo
2021-08-29,16.8,13.8,21.6,0.2,,,16.6,,1017.8,,Antananarivo
2021-08-30,16.9,14.4,21.2,8.3,,,10.3,,1017.5,,Antananarivo
2021-08-31,17.6,12.8,23.3,0.1,,,9.7,,1019.0,,Antananarivo
2021-09-01,18.1,13.6,24.5,0.0,,,10.5,,1020.4,,Antananarivo
2021-09-02,15.8,10.1,22.5,0.0,,,13.2,,1021.6,,Antananarivo
2021-09-03,15.4,11.1,21.9,0.0,,,14.5,,1021.9,,Antananarivo
2021-09-04,14.9,11.1,20.2,0.0,,,15.8,,1023.4,,Antananarivo
2021-09-05,14.2,10.8,19.1,0.3,,,16.9,,1024.2,,Antananarivo
2021-09-06,14.7,11.0,20.5,0.0,,,13.8,,1023.8,,Antananarivo
2021-09-07,14.2,9.5,19.4,0.1,,,12.2,,1023.7,,Antananarivo
2021-09-08,15.5,9.3,23.0,0.0,,,9.6,,1022.1,,Antananarivo
2021-09-09,16.6,10.4,24.7,0.0,,,8.4,,1021.3,,Antananarivo
2021-09-10,16.1,11.3,22.6,0.0,,,14.1,,1024.2,,Antananarivo
2021-09-11,14.5,10.8,19.2,0.3,,,18.9,,1025.6,,Antananarivo
2021-09-12,14.9,11.9,19.8,0.0,,,18.3,,1024.5,,Antananarivo
2021-09-13,15.4,11.6,20.4,0.0,,,13.8,,1023.5,,Antananarivo
2021-09-14,16.2,11.8,22.8,0.0,,,12.9,,1022.1,,Antananarivo
2021-09-15,16.6,11.8,22.9,0.0,,,9.8,,1020.9,,Antananarivo
2021-09-16,17.2,11.0,25.3,0.0,,,6.9,,1018.6,,Antananarivo
2021-09-17,19.3,12.5,27.7,0.0,,,7.6,,1015.0,,Antananarivo
2021-09-18,19.2,12.5,28.1,0.3,,,8.3,,1015.2,,Antananarivo
2021-09-19,15.3,12.2,18.8,0.1,,,15.4,,1019.5,,Antananarivo
2021-09-20,14.6,12.1,17.9,0.6,,,13.5,,1021.7,,Antananarivo
2021-09-21,16.4,12.4,22.1,0.0,,,10.2,,1021.9,,Antananarivo
2021-09-22,17.6,11.4,25.4,0.0,,,8.5,,1020.5,,Antananarivo
2021-09-23,17.6,12.7,23.8,0.2,,,12.0,,1019.9,,Antananarivo
2021-09-24,16.5,12.0,23.1,0.0,,,15.0,,1022.4,,Antananarivo
2021-09-25,16.9,13.4,22.5,0.3,,,14.4,,1022.8,,Antananarivo
2021-09-26,16.8,12.3,22.6,0.2,,,16.3,,1021.8,,Antananarivo
2021-09-27,15.6,8.9,22.8,0.0,,,14.1,,1021.1,,Antananarivo
2021-09-28,16.1,10.6,21.8,2.4,,,12.2,,1021.1,,Antananarivo
2021-09-29,17.3,12.2,23.8,0.0,,,11.2,,1020.4,,Antananarivo
2021-09-30,17.7,12.1,25.2,0.0,,,11.2,,1019.9,,Antananarivo
2021-10-01,16.6,11.6,23.1,0.0,,,11.3,,1019.6,,Antananarivo
2021-10-02,17.0,11.6,23.6,0.0,,,10.2,,1018.8,,Antananarivo
2021-10-03,17.2,10.9,24.1,0.0,,,10.4,,1018.9,,Antananarivo
2021-10-04,19.0,13.3,26.9,0.0,,,5.8,,1017.6,,Antananarivo
2021-10-05,19.4,14.3,26.4,0.0,,,10.6,,1017.2,,Antananarivo
2021-10-06,19.3,14.5,25.6,0.1,,,8.1,,1015.7,,Antananarivo
2021-10-07,18.6,12.9,27.5,0.2,,,10.8,,1014.5,,Antananarivo
2021-10-08,15.8,12.8,20.8,0.0,,,16.0,,1018.2,,Antananarivo
2021-10-09,16.3,12.6,21.3,0.0,,,13.4,,1019.7,,Antananarivo
2021-10-10,17.9,12.1,25.1,0.0,,,11.7,,1019.5,,Antananarivo
2021-10-11,18.1,10.8,25.8,0.1,,,11.6,,1018.8,,Antananarivo
2021-10-12,18.5,12.6,25.3,0.0,,,15.1,,1019.2,,Antananarivo
2021-10-13,19.8,13.0,27.3,0.0,,,10.9,,1019.0,,Antananarivo
2021-10-14,20.2,15.5,27.4,0.0,,,10.5,,1019.6,,Antananarivo
2021-10-15,18.6,14.2,25.6,0.0,,,13.0,,1020.0,,Antananarivo
2021-10-16,17.4,10.2,25.0,0.0,,,14.2,,1018.8,,Antananarivo
2021-10-17,17.7,10.9,25.1,0.0,,,12.3,,1018.8,,Antananarivo
2021-10-18,18.2,10.7,26.1,0.0,,,10.0,,1019.1,,Antananarivo
2021-10-19,19.6,11.5,28.3,0.0,,,8.3,,1018.8,,Antananarivo
2021-10-20,19.8,13.9,27.3,0.0,,,9.3,,1019.0,,Antananarivo
2021-10-21,20.2,15.5,27.6,2.2,,,11.5,,1016.2,,Antananarivo
2021-10-22,21.7,13.8,30.3,0.0,,,10.3,,1015.2,,Antananarivo
2021-10-23,22.7,16.0,30.6,0.0,,,10.5,,1016.5,,Antananarivo
2021-10-24,21.9,14.9,30.8,0.1,,,6.9,,1018.6,,Antananarivo
2021-10-25,21.0,16.9,26.4,1.3,,,11.5,,1020.8,,Antananarivo
2021-10-26,19.6,14.0,26.6,0.0,,,13.0,,1021.4,,Antananarivo
